Brand,Name,Size,SKU,Price,Cost_Price,Rating,Warehouse,Stock_Qty,Available_Qty,Reserved_Qty,Reorder_Point,Load_Index,Speed_Rating,Season,Supplier_Code,Last_Received,Source,Stock,Installation,Warranty,Road_Hazard,Mounting_Balance,Regular_Price,Member_Price,Savings,Stock_Quantity,Warehouse_Location,Installation_Price,Online_Stock,Store_Location,Store_Stock,Availability,Installation_Fee,Region,Total_Inventory,UTQG,Service_Package,Lead_Time
Michelin,Pilot Sport 4S,235/60R18,MCH-7470-2356018,284.21,180.88,4.5/5.0 (348 reviews),Main Distribution Center - PA,7.0,1.0,6.0,21.0,100.0,Z,Summer,SUP-720,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,SP Winter Sport 3D,245/50R18,DUN-4784-2455018,294.12,181.39,3.8/5.0 (491 reviews),Express Center - MD,68.0,59.0,9.0,14.0,105.0,Z,Summer,SUP-228,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Proxes R1R,215/55R16,TOY-6101-2155516,173.86,114.29,4.1/5.0 (451 reviews),Regional Hub - WV,137.0,126.0,11.0,24.0,111.0,Y,Summer,SUP-875,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,TrueContact Tour,265/70R17,CON-6136-2657017,130.18,72.4,4.4/5.0 (463 reviews),Express Center - MD,116.0,110.0,6.0,18.0,115.0,V,All-Season,SUP-322,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,IceGuard IG53,245/50R18,YOK-6321-2455018,136.76,97.67,4.7/5.0 (342 reviews),Regional Hub - WV,143.0,136.0,7.0,13.0,95.0,Y,All-Season,SUP-351,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Michelin,Defender T+H,235/50R18,MCH-2024-2355018,284.91,198.21,3.9/5.0 (343 reviews),Express Center - MD,13.0,10.0,3.0,13.0,107.0,H,Summer,SUP-756,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,275/35R19,COP-3164-2753519,255.82,166.8,4.9/5.0 (52 reviews),Regional Hub - WV,36.0,22.0,14.0,23.0,93.0,W,Summer,SUP-366,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,All-Terrain T/A KO2,215/55R16,BFG-6942-2155516,202.81,115.49,4.6/5.0 (480 reviews),Express Center - MD,113.0,98.0,15.0,14.0,109.0,V,Winter,SUP-461,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Blizzak WS90,245/50R18,BDS-5827-2455018,199.22,146.84,4.5/5.0 (350 reviews),Secondary Warehouse - OH,65.0,59.0,6.0,12.0,118.0,V,Winter,SUP-963,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Potenza RE-71R,245/45R17,BDS-7217-2454517,161.44,93.89,3.7/5.0 (84 reviews),Secondary Warehouse - OH,115.0,111.0,4.0,29.0,119.0,Z,Winter,SUP-468,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Advan Apex,235/50R18,YOK-6948-2355018,285.37,158.63,4.3/5.0 (187 reviews),Secondary Warehouse - OH,131.0,128.0,3.0,18.0,98.0,V,Summer,SUP-655,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Advan Apex,225/45R17,YOK-9872-2254517,228.91,144.57,4.3/5.0 (486 reviews),Regional Hub - WV,141.0,131.0,10.0,27.0,84.0,Z,Winter,SUP-285,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Azenis FK510,235/50R18,FAL-1451-2355018,136.60,77.29,3.7/5.0 (378 reviews),Secondary Warehouse - OH,122.0,116.0,6.0,22.0,107.0,Y,All-Season,SUP-232,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Signature HP,215/55R16,DUN-4586-2155516,146.14,104.9,4.0/5.0 (189 reviews),Secondary Warehouse - OH,67.0,52.0,15.0,17.0,109.0,Z,Summer,SUP-138,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Wrangler TrailRunner AT,235/50R18,GDY-8530-2355018,165.17,92.36,4.9/5.0 (434 reviews),Express Center - MD,106.0,103.0,3.0,29.0,113.0,H,All-Season,SUP-137,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,235/60R18,FAL-2588-2356018,180.38,110.39,4.0/5.0 (368 reviews),Secondary Warehouse - OH,112.0,110.0,2.0,24.0,80.0,H,Summer,SUP-473,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,275/35R19,FAL-1244-2753519,283.59,179.14,4.2/5.0 (448 reviews),Express Center - MD,83.0,69.0,14.0,27.0,107.0,Y,Winter,SUP-180,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,265/70R17,FAL-9251-2657017,223.27,152.39,4.3/5.0 (442 reviews),Express Center - MD,121.0,112.0,9.0,23.0,94.0,V,Winter,SUP-415,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,ExtremeContact DWS06,265/70R17,CON-6319-2657017,267.28,157.49,4.0/5.0 (413 reviews),Express Center - MD,143.0,135.0,8.0,12.0,90.0,Z,Winter,SUP-874,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Turanza QuietTrack,225/60R16,BDS-9774-2256016,239.45,154.58,3.9/5.0 (232 reviews),Regional Hub - WV,90.0,82.0,8.0,24.0,92.0,W,Winter,SUP-755,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Eagle F1 Asymmetric,215/55R16,GDY-5507-2155516,253.73,178.72,4.8/5.0 (206 reviews),Regional Hub - WV,86.0,77.0,9.0,20.0,94.0,Z,Winter,SUP-330,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Blizzak WS90,255/40R17,BDS-1180-2554017,149.14,98.41,4.7/5.0 (330 reviews),Secondary Warehouse - OH,127.0,113.0,14.0,20.0,92.0,V,Summer,SUP-243,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,225/45R17,YOK-1456-2254517,163.20,90.81,4.8/5.0 (255 reviews),Secondary Warehouse - OH,18.0,10.0,8.0,27.0,98.0,Z,Summer,SUP-559,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Assurance MaxLife,235/60R18,GDY-1221-2356018,171.06,109.7,5.0/5.0 (275 reviews),Main Distribution Center - PA,75.0,75.0,0.0,25.0,91.0,Y,Winter,SUP-511,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,235/50R18,YOK-9742-2355018,111.19,80.5,4.3/5.0 (291 reviews),Regional Hub - WV,111.0,101.0,10.0,11.0,93.0,H,All-Season,SUP-597,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Assurance MaxLife,235/50R18,GDY-8666-2355018,264.01,147.84,4.5/5.0 (177 reviews),Express Center - MD,18.0,3.0,15.0,21.0,113.0,V,Winter,SUP-491,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,Discoverer AT3 4S,255/40R17,COP-8429-2554017,278.95,163.01,3.5/5.0 (323 reviews),Main Distribution Center - PA,40.0,25.0,15.0,13.0,82.0,V,Winter,SUP-762,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Advan Apex,225/45R17,YOK-9241-2254517,254.48,183.15,4.9/5.0 (361 reviews),Secondary Warehouse - OH,90.0,85.0,5.0,30.0,90.0,Z,Summer,SUP-443,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,TrueContact Tour,245/45R17,CON-5926-2454517,122.46,90.98,4.8/5.0 (500 reviews),Regional Hub - WV,72.0,71.0,1.0,14.0,115.0,Y,All-Season,SUP-242,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,225/45R17,FAL-4270-2254517,267.03,179.78,4.2/5.0 (352 reviews),Secondary Warehouse - OH,91.0,77.0,14.0,12.0,83.0,W,All-Season,SUP-587,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Advan Apex,215/55R16,YOK-1946-2155516,117.38,71.71,4.0/5.0 (412 reviews),Main Distribution Center - PA,44.0,29.0,15.0,30.0,104.0,Z,Winter,SUP-822,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Michelin,Pilot Sport 4S,245/50R18,MCH-8395-2455018,196.10,132.44,4.8/5.0 (353 reviews),Main Distribution Center - PA,126.0,116.0,10.0,29.0,95.0,Y,Winter,SUP-716,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Direzza ZIII,255/40R17,DUN-2098-2554017,229.45,138.56,4.7/5.0 (56 reviews),Regional Hub - WV,24.0,14.0,10.0,19.0,104.0,Y,All-Season,SUP-534,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,225/45R17,FAL-4246-2254517,221.14,138.19,4.5/5.0 (250 reviews),Express Center - MD,116.0,102.0,14.0,14.0,120.0,Y,All-Season,SUP-920,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,275/35R19,YOK-8396-2753519,235.16,172.46,4.0/5.0 (321 reviews),Main Distribution Center - PA,36.0,31.0,5.0,27.0,93.0,W,Winter,SUP-511,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,225/60R16,YOK-7749-2256016,227.51,128.38,3.9/5.0 (91 reviews),Main Distribution Center - PA,14.0,3.0,11.0,22.0,82.0,H,All-Season,SUP-759,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,215/55R16,BFG-6394-2155516,135.08,75.63,3.5/5.0 (283 reviews),Express Center - MD,139.0,125.0,14.0,29.0,95.0,H,Summer,SUP-434,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,265/70R17,BFG-1328-2657017,106.21,66.01,4.9/5.0 (120 reviews),Main Distribution Center - PA,8.0,2.0,6.0,28.0,99.0,Y,Winter,SUP-239,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,Discoverer AT3 4S,245/50R18,COP-1065-2455018,220.80,132.68,4.2/5.0 (185 reviews),Main Distribution Center - PA,126.0,120.0,6.0,20.0,116.0,Z,All-Season,SUP-722,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,215/55R16,BFG-3415-2155516,152.34,103.2,3.9/5.0 (393 reviews),Main Distribution Center - PA,100.0,88.0,12.0,23.0,115.0,H,All-Season,SUP-446,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Signature HP,265/70R17,DUN-5217-2657017,261.91,187.21,4.5/5.0 (398 reviews),Regional Hub - WV,112.0,107.0,5.0,21.0,97.0,H,All-Season,SUP-578,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Assurance MaxLife,275/35R19,GDY-7652-2753519,134.24,76.67,4.0/5.0 (374 reviews),Secondary Warehouse - OH,88.0,86.0,2.0,24.0,111.0,V,Winter,SUP-855,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Eagle F1 Asymmetric,235/60R18,GDY-6591-2356018,285.64,208.95,4.8/5.0 (358 reviews),Regional Hub - WV,35.0,29.0,6.0,29.0,103.0,H,Summer,SUP-508,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,245/45R17,YOK-7539-2454517,192.14,129.87,4.3/5.0 (323 reviews),Express Center - MD,19.0,9.0,10.0,18.0,87.0,V,Summer,SUP-328,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,225/45R17,FAL-9630-2254517,103.27,59.34,3.5/5.0 (234 reviews),Secondary Warehouse - OH,128.0,122.0,6.0,14.0,80.0,Z,Summer,SUP-780,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,225/60R16,COP-8599-2256016,155.12,87.38,4.8/5.0 (118 reviews),Secondary Warehouse - OH,149.0,147.0,2.0,26.0,102.0,Y,Winter,SUP-352,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,Advantage T/A Sport,225/60R16,BFG-8435-2256016,180.92,110.59,4.1/5.0 (324 reviews),Secondary Warehouse - OH,127.0,119.0,8.0,29.0,88.0,Z,Winter,SUP-519,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,215/55R16,COP-2161-2155516,259.29,189.43,4.5/5.0 (137 reviews),Secondary Warehouse - OH,32.0,18.0,14.0,30.0,112.0,W,Summer,SUP-627,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Michelin,Primacy MXM4,245/45R17,MCH-6158-2454517,235.44,163.86,4.1/5.0 (390 reviews),Secondary Warehouse - OH,134.0,126.0,8.0,29.0,99.0,Z,All-Season,SUP-799,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,Zeon RS3-G1,245/50R18,COP-6800-2455018,287.69,198.53,4.8/5.0 (195 reviews),Regional Hub - WV,87.0,80.0,7.0,13.0,108.0,Y,Winter,SUP-144,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Azenis FK510,225/45R17,FAL-5784-2254517,197.87,136.74,3.9/5.0 (208 reviews),Express Center - MD,102.0,95.0,7.0,25.0,115.0,V,Summer,SUP-380,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,VikingContact 7,235/60R18,CON-6829-2356018,138.36,83.43,4.7/5.0 (179 reviews),Main Distribution Center - PA,16.0,8.0,8.0,10.0,91.0,H,All-Season,SUP-724,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,255/40R17,COP-9934-2554017,300.97,207.13,4.4/5.0 (159 reviews),Regional Hub - WV,71.0,65.0,6.0,28.0,97.0,V,Winter,SUP-358,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Michelin,Pilot Sport 4S,235/60R18,MCH-6602-2356018,135.04,75.64,4.7/5.0 (456 reviews),Express Center - MD,12.0,2.0,10.0,12.0,106.0,V,All-Season,SUP-209,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,235/60R18,BFG-4978-2356018,142.27,96.5,4.0/5.0 (59 reviews),Secondary Warehouse - OH,76.0,74.0,2.0,16.0,102.0,Z,Winter,SUP-188,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,Zeon RS3-G1,255/40R17,COP-1108-2554017,243.32,166.6,3.6/5.0 (317 reviews),Main Distribution Center - PA,37.0,26.0,11.0,14.0,100.0,Y,Winter,SUP-925,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Assurance MaxLife,245/50R18,GDY-9798-2455018,88.69,54.68,4.2/5.0 (200 reviews),Regional Hub - WV,37.0,28.0,9.0,27.0,118.0,Z,All-Season,SUP-684,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Celsius CUV,245/45R17,TOY-3829-2454517,135.67,96.91,3.9/5.0 (304 reviews),Secondary Warehouse - OH,34.0,20.0,14.0,29.0,120.0,Y,Winter,SUP-202,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Open Country A/T III,265/70R17,TOY-1300-2657017,256.21,151.59,4.1/5.0 (351 reviews),Main Distribution Center - PA,112.0,107.0,5.0,29.0,116.0,Y,All-Season,SUP-467,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Blizzak WS90,235/60R18,BDS-2743-2356018,256.65,168.21,3.8/5.0 (70 reviews),Express Center - MD,68.0,56.0,12.0,12.0,88.0,Y,Summer,SUP-685,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Proxes R1R,225/45R17,TOY-2803-2254517,128.62,95.6,4.3/5.0 (185 reviews),Main Distribution Center - PA,13.0,9.0,4.0,16.0,92.0,H,All-Season,SUP-544,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,Avid Ascend GT,215/55R16,YOK-7416-2155516,255.38,166.83,4.7/5.0 (167 reviews),Secondary Warehouse - OH,67.0,61.0,6.0,24.0,105.0,V,Winter,SUP-755,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,TrueContact Tour,225/45R17,CON-5297-2254517,328.89,199.12,3.5/5.0 (302 reviews),Main Distribution Center - PA,115.0,111.0,4.0,25.0,118.0,Y,All-Season,SUP-166,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Potenza RE-71R,245/45R17,BDS-9273-2454517,231.68,169.01,5.0/5.0 (173 reviews),Main Distribution Center - PA,82.0,75.0,7.0,18.0,107.0,Y,All-Season,SUP-779,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,ExtremeContact DWS06,225/60R16,CON-3725-2256016,113.33,77.91,3.5/5.0 (445 reviews),Express Center - MD,77.0,69.0,8.0,17.0,106.0,Z,Summer,SUP-249,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Michelin,Primacy MXM4,255/40R17,MCH-2629-2554017,254.71,155.97,4.1/5.0 (140 reviews),Regional Hub - WV,141.0,128.0,13.0,14.0,80.0,H,Summer,SUP-335,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,ExtremeContact DWS06,215/55R16,CON-9216-2155516,142.44,80.31,3.7/5.0 (400 reviews),Main Distribution Center - PA,90.0,83.0,7.0,26.0,104.0,V,Summer,SUP-358,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Continental,TrueContact Tour,245/45R17,CON-7446-2454517,194.34,118.26,3.9/5.0 (381 reviews),Main Distribution Center - PA,64.0,57.0,7.0,23.0,115.0,V,Summer,SUP-883,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Open Country A/T III,265/70R17,TOY-9523-2657017,235.72,173.46,4.9/5.0 (316 reviews),Secondary Warehouse - OH,136.0,136.0,0.0,12.0,100.0,Z,Winter,SUP-433,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Toyo,Celsius CUV,225/45R17,TOY-1249-2254517,187.39,117.78,4.3/5.0 (159 reviews),Main Distribution Center - PA,119.0,106.0,13.0,13.0,86.0,H,Winter,SUP-329,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Direzza ZIII,215/55R16,DUN-5360-2155516,295.34,221.01,4.3/5.0 (70 reviews),Regional Hub - WV,51.0,46.0,5.0,22.0,85.0,Z,Winter,SUP-818,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Turanza QuietTrack,265/70R17,BDS-8886-2657017,184.88,138.25,4.1/5.0 (280 reviews),Secondary Warehouse - OH,10.0,3.0,7.0,28.0,88.0,H,Summer,SUP-846,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,SP Winter Sport 3D,225/60R16,DUN-3432-2256016,111.47,61.97,3.8/5.0 (353 reviews),Secondary Warehouse - OH,58.0,47.0,11.0,16.0,92.0,Z,All-Season,SUP-516,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,SP Winter Sport 3D,215/55R16,DUN-6304-2155516,221.42,154.03,4.6/5.0 (64 reviews),Secondary Warehouse - OH,71.0,61.0,10.0,10.0,83.0,V,Summer,SUP-917,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Potenza RE-71R,215/55R16,BDS-8143-2155516,256.57,156.41,3.9/5.0 (396 reviews),Secondary Warehouse - OH,146.0,134.0,12.0,14.0,81.0,V,Winter,SUP-431,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Turanza QuietTrack,245/50R18,BDS-6072-2455018,122.78,84.12,4.2/5.0 (150 reviews),Regional Hub - WV,26.0,16.0,10.0,23.0,99.0,Z,Summer,SUP-731,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Bridgestone,Turanza QuietTrack,245/45R17,BDS-8112-2454517,206.40,124.86,4.5/5.0 (286 reviews),Main Distribution Center - PA,122.0,116.0,6.0,26.0,110.0,H,Winter,SUP-650,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,All-Terrain T/A KO2,245/45R17,BFG-3079-2454517,281.32,193.8,4.0/5.0 (341 reviews),Main Distribution Center - PA,121.0,107.0,14.0,28.0,103.0,Y,Winter,SUP-552,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,CS5 Ultra Touring,235/50R18,COP-2828-2355018,185.49,121.56,3.9/5.0 (274 reviews),Express Center - MD,11.0,6.0,5.0,12.0,86.0,V,Winter,SUP-628,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,215/55R16,BFG-9669-2155516,132.83,85.41,4.5/5.0 (305 reviews),Secondary Warehouse - OH,62.0,55.0,7.0,19.0,96.0,V,All-Season,SUP-941,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Pirelli,Scorpion Verde,245/50R18,PIR-8476-2455018,240.92,178.15,4.3/5.0 (246 reviews),Main Distribution Center - PA,68.0,54.0,14.0,12.0,111.0,H,All-Season,SUP-865,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Falken,Eurowinter HS01,275/35R19,FAL-4977-2753519,289.89,181.63,4.2/5.0 (346 reviews),Secondary Warehouse - OH,94.0,79.0,15.0,10.0,106.0,H,Winter,SUP-730,2025-01-15,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,Direzza ZIII,265/70R17,DUN-6852-2657017,235.53,160.38,3.8/5.0 (382 reviews),Regional Hub - WV,56.0,43.0,13.0,18.0,88.0,V,Summer,SUP-442,2025-01-05,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
BFGoodrich,g-Force COMP-2 A/S,235/50R18,BFG-2759-2355018,85.63,51.2,5.0/5.0 (307 reviews),Main Distribution Center - PA,19.0,9.0,10.0,11.0,98.0,V,All-Season,SUP-391,2025-01-10,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Yokohama,IceGuard IG53,245/45R17,YOK-9033-2454517,198.79,139.73,4.8/5.0 (53 reviews),Secondary Warehouse - OH,19.0,15.0,4.0,14.0,94.0,V,Winter,SUP-621,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Goodyear,Eagle F1 Asymmetric,235/60R18,GDY-1562-2356018,156.78,94.03,4.9/5.0 (448 reviews),Secondary Warehouse - OH,13.0,11.0,2.0,11.0,92.0,Y,Winter,SUP-475,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Dunlop,SP Winter Sport 3D,245/50R18,DUN-4738-2455018,140.78,95.86,4.6/5.0 (109 reviews),Regional Hub - WV,16.0,3.0,13.0,18.0,113.0,Y,All-Season,SUP-935,2025-01-03,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
Cooper,Zeon RS3-G1,235/50R18,COP-3398-2355018,136.68,79.27,3.5/5.0 (237 reviews),Regional Hub - WV,8.0,8.0,0.0,11.0,106.0,Y,All-Season,SUP-536,2024-12-28,TireRack-Inventory,,,,,,,,,,,,,,,,,,,,,
