Brand,Name,Size,Price,Rating,Source
Yokohama,IceGuard IG53,235/50R18,255.68,4.0/5.0 (320 reviews),MockData
Michelin,Primacy MXM4,215/55R16,190.84,4.0/5.0 (276 reviews),MockData
Dunlop,SP Winter Sport 3D,235/60R18,224.50,3.6/5.0 (62 reviews),MockData
Goodyear,Wrangler TrailRunner AT,235/50R18,224.36,4.8/5.0 (136 reviews),MockData
Pirelli,Cinturato P7,215/55R16,122.84,4.5/5.0 (239 reviews),MockData
Continental,ExtremeContact DWS06,275/35R19,292.88,3.5/5.0 (236 reviews),MockData
Falken,Eurowinter HS01,215/55R16,104.39,4.0/5.0 (486 reviews),MockData
Dunlop,SP Winter Sport 3D,245/45R17,104.99,4.6/5.0 (108 reviews),MockData
Cooper,Discoverer AT3 4S,275/35R19,214.45,4.5/5.0 (78 reviews),MockData
Continental,ExtremeContact DWS06,225/60R16,137.40,5.0/5.0 (252 reviews),MockData
BFGoodrich,g-Force COMP-2 A/S,225/45R17,169.15,4.3/5.0 (188 reviews),MockData
Continental,TrueContact Tour,255/40R17,235.42,3.7/5.0 (498 reviews),MockData
Cooper,CS5 Ultra Touring,265/70R17,188.65,3.8/5.0 (309 reviews),MockData
Bridgestone,Potenza RE-71R,275/35R19,330.18,4.8/5.0 (78 reviews),MockData
